time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-06-19T23:22:40.150Z,14.1025,-93.0761,10,4.2,mb,,187,1.403,0.86,us,us20009nna,2017-06-19T23:47:43.040Z,"98km SW of Puerto Madero, Mexico",earthquake,11.6,2,0.07,57,reviewed,us,us
2017-06-19T22:45:45.560Z,-24.2676,-67.0273,174.44,4.7,mwr,,38,1.682,1.14,us,us20009nn3,2017-06-19T23:04:24.040Z,"72km W of San Antonio de los Cobres, Argentina",earthquake,6.9,7.2,,,reviewed,us,guc
2017-06-19T20:52:28.400Z,11.0339,57.3606,10,4.6,mb,,121,13.881,0.76,us,us20009nmp,2017-06-20T14:24:17.040Z,"Owen Fracture Zone region",earthquake,11.9,1.9,0.073,57,reviewed,us,us
2017-06-19T20:39:23.690Z,-14.408,167.4157,175.11,4.5,mb,,112,6.336,0.59,us,us20009nmj,2017-06-20T15:38:10.541Z,"59km SSW of Sola, Vanuatu",earthquake,12.5,7.6,0.058,89,reviewed,us,us
2017-06-19T20:32:26.010Z,26.7036,129.6173,10,4.8,mb,,75,1.209,0.65,us,us20009nmi,2017-06-20T14:09:38.040Z,"163km E of Nago, Japan",earthquake,5.7,1.8,0.068,68,reviewed,us,us
2017-06-19T20:24:13.820Z,52.5836,-173.8446,192.69,4.5,mb,,163,1.445,0.77,us,us20009nmc,2017-06-20T15:08:45.040Z,"49km NNE of Atka, Alaska",earthquake,10.1,8.9,0.058,86,reviewed,us,us
2017-06-19T20:10:01.000Z,-38.117,-74.014,23.1,4.4,mwr,,,,0.4,us,us20009nm8,2017-06-20T13:37:13.040Z,"64km SSW of Lebu, Chile",earthquake,4,7,,,reviewed,guc,guc
2017-06-19T20:02:35.260Z,4.9936,-76.6523,104,4.2,mb,,101,1.651,1.01,us,us20009nm7,2017-06-20T15:35:57.040Z,"6km NW of Novita, Colombia",earthquake,7.5,11.9,0.199,7,reviewed,us,us
2017-06-19T19:50:37.830Z,-21.1453,-178.8132,575.1,4.5,mb,,113,4.492,0.58,us,us20009nm4,2017-06-20T13:23:44.040Z,"56km SSW of Ndoi Island, Fiji",earthquake,11.1,8.4,0.057,91,reviewed,us,us
2017-06-19T18:10:58.210Z,35.6156,-96.8941,5.52,3,mb_lg,,58,0.096,0.11,us,us20009nlt,2017-06-20T03:02:44.288Z,"9km S of Chandler, Oklahoma",earthquake,1.2,3.4,0.053,93,reviewed,us,us
2017-06-19T17:22:55.000Z,49.9709,-126.351,1,4.3,Ml,12,100.799991936001,0.5066498,2.2,at,at00ort1m7,2017-06-20T12:26:41.236Z,"79km W of Campbell River, Canada",earthquake,0,0,,9,reviewed,at,at
2017-06-19T16:58:20.268Z,57.5623,-142.8845,29.3,3.2,ml,,,,0.81,ak,ak16207784,2017-06-20T01:56:18.091Z,"280km S of Cape Yakataga, Alaska",earthquake,,13.9,,,reviewed,ak,ak
2017-06-19T16:43:20.730Z,19.4505,-154.832,0.014,2.53,ml,36,276,0.06105,0.32,hv,hv61805256,2017-06-21T02:07:07.808Z,"9km ESE of Leilani Estates, Hawaii",earthquake,1.33,0.34,0.145,10,reviewed,hv,hv
2017-06-19T15:17:31.790Z,36.1175,-97.8236,2.32,2.6,mb_lg,,26,0.104,0.11,us,us20009nlf,2017-06-19T16:08:31.040Z,"6km E of Hennessey, Oklahoma",earthquake,0.7,4.4,0.082,39,reviewed,us,us
2017-06-19T14:55:50.250Z,-19.1685,-69.4024,115.07,4.5,mwr,,90,0.534,0.78,us,us20009nlb,2017-06-19T16:35:41.600Z,"108km S of Putre, Chile",earthquake,6,5.8,,,reviewed,us,guc
2017-06-19T13:51:54.420Z,-15.2806,-173.4043,24.8,4.5,mb,,113,2.083,0.56,us,us20009nl6,2017-06-19T15:09:26.040Z,"82km NNE of Hihifo, Tonga",earthquake,13.4,7.4,0.098,31,reviewed,us,us
2017-06-19T13:42:58.290Z,22.0131,37.8939,10,4.4,mb,,228,7.181,0.44,us,us20009nky,2017-06-19T14:41:21.040Z,"146km SW of Rabigh, Saudi Arabia",earthquake,6,2,0.108,25,reviewed,us,us
